ALLOT_NAME,ALLOT_NO,PAST_NAME,PAST_NO,herb,upland,water,woody
Geertson Creek,06110,Kirtley Creek (C),03,0.002218842,0.4615767021598199,0.009541404,0.5266630517713787
Geertson Creek,06110,D Bolton,04,0.007115839,0.056850182,0.1854906876315306,0.7505432915035448
Chipps Creek,06112,Chipps Creek,01,0.038117377,0.20193014679559063,0.013881246,0.7460712303878879
Bohannon Creek,06113,Middle,02,0.008522138,0.06525365,0.099309941,0.8269142713915226
Bohannon Creek,06113,North,01,0.00149671,0.15007051396014878,0.061566440780575715,0.7868663348803044
Bohannon Creek,06113,South,03,0.003924454,0.1008206060880168,0.10605913835263137,0.7891958019691874
Wimpey Coal Mine,06114,McMurdie,02,,0.8443278405721577,0.005390932,0.15028122697622595
Wimpey Coal Mine,06114,Lower,04,,,,
Wimpey Coal Mine,06114,Upper,03,0.002068307,0.07471596,0.12751513144376253,0.7957006016765534
Wimpey Coal Mine,06114,England,05,,0.5916792168674699,,0.4083207831325301
Wimpey Coal Mine,06114,Coal Mine,01,0.15189936436254806,0.17879110043328705,0.034944000308343603,0.6343655348958213
Hot Springs,06116,Reservoir,02,0.022737817197130396,0.8038773381298506,,0.17338484467301898
Hot Springs,06116,Hot Springs,03,0.053494654,0.29824765304975903,0.011690887655122589,0.636566806
Hot Springs,06116,Seven Mile,04,0.019246795,0.3693843758302467,0.05319158,0.5581772498490772
Hot Springs,06116,Seven Mile ACEC,05,0.014486472741845472,0.2967130977929961,0.041193173,0.6476072569169928
Hot Springs,06116,Clark Spring,01,0.11089324830212653,0.14859609709203517,0.003989118,0.7365215362419807
Perreau Creek,06117,Perreau Creek,01,0.006561852,0.060630614,0.002804787,0.930002747
Joe Moore,06118,Joe Moore,01,0.013683884730928714,0.11727965156493052,0.036667472,0.8323689918913647
Joe Moore,06118,Upper Basco,02,0.003309697,0.075876202,0.10193061352638594,0.8188834873888682
East Fork Wimpey Creek,06119,East Fork Wimpey Creek,01,0.003178347,0.049755427,0.14896054604253559,0.7981056798233307
Pratt Creek,06120,North Turnout,01,,0.7462711265222003,0.007672115,0.24605675860668375
Pratt Creek,06120,Pratt Creek,05,0.001836322,0.043320628039152966,0.18172547470095035,0.7731175753635093
Pratt Creek,06120,W. Sandy,04,0.003371835,0.072526098,0.20668456223534265,0.7174175046364509
Pratt Creek,06120,Lower,02,0.014382163189529331,0.27097005590172585,0.002189031,0.7124587498768927
Pratt Creek,06120,Middle,03,0.002705987,0.3151625449008071,0.042080744517724214,0.6400507239840612
Pronghorn,06121,Pronghorn,01,0.006533162,0.099817481,0.2060607577783545,0.6875885989489253
County Road,06122,County Road,01,0.15863304632004943,0.059440959,0.001619212,0.7803067824879564
Baker Creek,06123,High Range,04,0.048277023,0.071152932,0.091198404,0.7893716411279683
Baker Creek,06123,New Seeding,02,0.007682111,0.22614779779478222,0.003622643,0.7625474483340363
Baker Creek,06123,Middle Range,03,0.008636099,0.140656226,0.008469197,0.8422384786312631
Baker Creek,06123,Low Range,01,0.017462062,0.088728508,5.336900792932304E-4,0.8932757395899514
Williams Creek,06124,Williams Creek,01,0.009941573,0.15713730800122683,0.009532811,0.8233883081011564
Henry Creek,06125,Henry Creek,01,0.0142886,0.1594081945961084,0.011577628,0.8147255774067672
Lake Creek,06126,Lake Creek,01,0.005113947,0.1535194587310243,0.014177945229067726,0.8271886486078013
Ten Mile,06127,Ten Mile,01,0.020762533317312298,0.088817464,0.030617521401452248,0.8598024809189426
Wimpey Creek,06128,W. Side Wimpey Creek,01,0.001766084,0.14896426254872278,0.079867207,0.769402447
Wimpey Creek,06128,E. Side Wimpey Creek,02,0.002318632,0.04522462,0.072798571,0.8796581770387304
Dummy Creek,06129,Dummy Creek,01,0.002404896,0.053684136,0.15733405135929415,0.7865769165592833
Haynes Creek,06201,Cheney Creek,07,0.016378975591211695,0.026846038,0.056485519,0.9002894675967444
Haynes Creek,06201,K Mountain,06,0.020423466965907338,0.019595443,0.030764132888262775,0.9292169574828726
Haynes Creek,06201,Price Creek,04,0.05372889,0.064514588,0.12203464987603416,0.7597218725960525
Haynes Creek,06201,Kadletz Creek,02,0.15050503347484406,0.054791277359905605,0.039761327227535524,0.7549423619377148
Haynes Creek,06201,Withington Creek,03,0.084035365,0.087882967,0.016722673031143644,0.8113589955712492
Haynes Creek,06201,Upper Grade Creek,05,0.1035334204580928,0.036040232591361916,0.053095804,0.8073305432246389
Haynes Creek,06201,Haynes Creek,01,0.04628908,0.038301448,0.045972682,0.8694367903611323
Haynes Creek,06201,Lower Grade Creek,08,0.015867868339478647,0.18782686439260618,0.025056627898672926,0.7712486393692423
Lower Basin,06202,Lower Basin,03,0.098258914,0.20409194793970026,0.049174195,0.6484749431488809
Lower Basin,06202,Seeding,05,0.34346562402685094,0.043617806,0.009262223,0.6036543471061302
Lower Basin,06202,Baldy Basin/Spray,04,0.052142043,0.020847241129991693,0.1895438665351136,0.7374668495690765
Lower Basin,06202,Native,01,0.025811598695595916,0.15534994651868772,0.11779107751113149,0.701047377
