MIM.siteName,PIBO.siteName,Year,Unique,Allotment,Pasture,GGW,bankfull.width,D50,percent.fines,covered.stable,stable,wetland.rating,GGW.MK,bankfull.width.MK,D50.MK,percent.fines.MK,covered.stable.MK,stable.MK,wetland.rating.MK
HC01,092-14-IK,2019,HC01_092-14-IK,Haynes Creek,Haynes Creek,NA,3.61,34.5,NA,0.25,0.59,NA,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
HC01,092-14-IK,2020,HC01_092-14-IK,Haynes Creek,Haynes Creek,3.78,NA,12.1,0.1,0.62,0.64,64,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
KC01,092-13-IKS,2001,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,9.49,31,NA,0.55,0.98,NA,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2003,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,9.75,36,NA,0.38,0.78,43,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2004,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,6.58,42,NA,0.48,0.9,53,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2006,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,7.37,41,NA,0.55,0.93,45,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2007,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,5.93,51,NA,0.83,0.95,NA,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2008,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,5.61,29,NA,0.6,0.93,46,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2009,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,9.36,29,NA,0.47,0.92,45,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2010,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,NA,NA,NA,0.66,0.945,51.5,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2011,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,10.8,53,NA,0.45,0.93,51,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2012,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,7.37,54,NA,0.48,0.98,45,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2013,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,4.1,NA,42.2,0.03,0.94,0.94,60,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2014,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,12.25,28,NA,0.6,0.9,52,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2018,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,8.72,NA,27.3,0.12,0.92,0.94,64,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
KC01,092-13-IKS,2019,KC01_092-13-IKS,Kenney Creek,Kenney Creek Riparian,NA,8.61,49,NA,0.45,0.8,NA,NA,0.696215391,1,NA,0.440668821,0.911933362,0.049040437
PC01,092-16-K,2004,PC01_092-16-K,Muleshoe,Lower Pattee,NA,6.45,NA,NA,0.69,0.98,56,NA,0.806495905,0.734095216,NA,1,0.085167907,1
PC01,092-16-K,2009,PC01_092-16-K,Muleshoe,Lower Pattee,NA,6.21,NA,NA,0.66,0.98,72,NA,0.806495905,0.734095216,NA,1,0.085167907,1
PC01,092-16-K,2010,PC01_092-16-K,Muleshoe,Lower Pattee,4.53,NA,24.44,0.19,0.74,0.85,68,NA,0.806495905,0.734095216,NA,1,0.085167907,1
PC01,092-16-K,2014,PC01_092-16-K,Muleshoe,Lower Pattee,NA,5.75,27,NA,0.34,0.91,73,NA,0.806495905,0.734095216,NA,1,0.085167907,1
PC01,092-16-K,2015,PC01_092-16-K,Muleshoe,Lower Pattee,4.41,4.08,4.8,0.16,0.63,0.66,67,NA,0.806495905,0.734095216,NA,1,0.085167907,1
PC01,092-16-K,2018,PC01_092-16-K,Muleshoe,Lower Pattee,4.53,6.73,17.89,0.09,0.79,0.79,66,NA,0.806495905,0.734095216,NA,1,0.085167907,1
RC02,092-10-I,2004,RC02_092-10-I,Yearian Creek,Upper Reese Creek,NA,2.24,15.5,NA,0.31,0.69,61,NA,NA,1,NA,0.089429379,1,0.308179498
RC02,092-10-I,2009,RC02_092-10-I,Yearian Creek,Upper Reese Creek,NA,2.55,18.5,NA,0.59,0.98,67,NA,NA,1,NA,0.089429379,1,0.308179498
RC02,092-10-I,2014,RC02_092-10-I,Yearian Creek,Upper Reese Creek,NA,3.12,23.5,NA,0.66,0.97,64,NA,NA,1,NA,0.089429379,1,0.308179498
RC02,092-10-I,2019,RC02_092-10-I,Yearian Creek,Upper Reese Creek,NA,NA,12.94,NA,0.665,0.94,69.5,NA,NA,1,NA,0.089429379,1,0.308179498
RG01,092-11-IK,2004,RG01_092-11-IK,Ryegrass,Ryegrass,NA,1.64,2,NA,0.35,0.51,61,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2009,RG01_092-11-IK,Ryegrass,Ryegrass,NA,1.72,11.5,NA,0.62,0.86,51,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2011,RG01_092-11-IK,Ryegrass,Ryegrass,1.14,NA,11.94,0.29,0.88,0.88,48,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2014,RG01_092-11-IK,Ryegrass,Ryegrass,NA,1.15,7,NA,0.48,0.85,56,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2016,RG01_092-11-IK,Ryegrass,Ryegrass,2.45,2.93,25.54,0.16,0.68,0.68,57,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2019,RG01_092-11-IK,Ryegrass,Ryegrass,NA,NA,NA,NA,0.58,0.83,NA,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
RG01,092-11-IK,2022,RG01_092-11-IK,Ryegrass,Ryegrass,1.64,NA,2.77,0.58,0.49,0.49,49,NA,0.734095216,0.70711422,NA,1,0.36752075,0.70711422
YC03,092-03-K,2004,YC03_092-03-K,Yearian Creek,South Fork,NA,2.35,NA,NA,0.83,0.9,63,NA,1,NA,NA,1,0.613354325,1
YC03,092-03-K,2009,YC03_092-03-K,Yearian Creek,South Fork,NA,2.49,NA,NA,0.62,0.9,68,NA,1,NA,NA,1,0.613354325,1
YC03,092-03-K,2014,YC03_092-03-K,Yearian Creek,South Fork,NA,3.1,21,NA,0.76,0.95,52,NA,1,NA,NA,1,0.613354325,1
YC03,092-03-K,2018,YC03_092-03-K,Yearian Creek,South Fork,NA,3.01,18,NA,0.68,0.8,NA,NA,1,NA,NA,1,0.613354325,1
YC03,092-03-K,2019,YC03_092-03-K,Yearian Creek,South Fork,2.16,2.11,19.74,0.03,0.83,0.84,66,NA,1,NA,NA,1,0.613354325,1
